date,open,high,low,close,volume,RSI,SMA,upper,lower,EMA,MACD,signal,histogram
2024-09-24 17:00:00,2626.57,2656.47,2624.87,2647.1,6481.9131,65.3664,2631.707,2657.4354,2605.9786,2631.3442,21.9017,28.8377,-6.936
2024-09-24 18:00:00,2647.14,2651.25,2633.0,2638.06,4928.0525,61.2471,2632.952,2657.3451,2608.5589,2632.6874,20.9375,27.2577,-6.3202
2024-09-24 19:00:00,2637.96,2655.67,2635.84,2650.26,3826.5022,64.4986,2634.427,2659.2566,2609.5974,2636.2019,20.9167,25.9895,-5.0728
2024-09-24 20:00:00,2650.18,2659.95,2640.23,2650.8,6331.3318,64.64,2635.5735,2661.1912,2609.9558,2639.1215,20.7051,24.9326,-4.2275
2024-09-24 21:00:00,2650.33,2655.99,2640.46,2647.68,3948.7265,63.0766,2636.5925,2662.4331,2610.7519,2640.8332,20.0545,23.957,-3.9025
2024-09-24 22:00:00,2647.52,2671.85,2647.32,2666.42,10842.221,68.0718,2638.8615,2666.7309,2610.9921,2645.9506,20.8112,23.3278,-2.5167
2024-09-24 23:00:00,2666.55,2669.2,2651.75,2653.31,3928.1483,61.7755,2640.18,2668.1635,2612.1965,2647.4225,20.121,22.6865,-2.5655
2024-09-25 00:00:00,2653.53,2657.05,2633.11,2638.88,3990.3553,55.6717,2641.0045,2667.7888,2614.2202,2645.714,18.1999,21.7891,-3.5893
2024-09-25 00:00:00,2653.53,2657.05,2633.11,2638.88,3990.3553,55.6717,2641.353,2667.8345,2614.8715,2644.3472,16.4873,20.7288,-4.2415
2024-09-25 01:00:00,2638.88,2673.77,2636.69,2649.47,4740.3004,59.1104,2641.8255,2668.5313,2615.1197,2645.3717,15.8024,19.7435,-3.9411
2024-09-25 02:00:00,2649.66,2657.38,2641.49,2647.91,1404.2222,58.3918,2641.881,2668.6325,2615.1295,2645.8794,14.9613,18.7871,-3.8257
2024-09-25 03:00:00,2647.6,2648.01,2640.02,2646.46,795.1206,57.6898,2641.164,2666.5844,2615.7436,2645.9955,14.0162,17.8329,-3.8167
2024-09-25 04:00:00,2646.59,2646.84,2624.86,2625.4,1343.1446,48.5585,2640.184,2666.4349,2613.9331,2641.8764,11.436,16.5535,-5.1176
2024-09-25 05:00:00,2625.25,2631.37,2620.0,2624.44,2116.6672,48.1841,2639.0455,2665.9458,2612.1452,2638.3891,9.2075,15.0843,-5.8768
2024-09-25 06:00:00,2624.04,2625.62,2610.51,2617.86,2539.1815,45.5895,2638.0965,2666.5362,2609.6568,2634.2833,6.8317,13.4338,-6.6021
2024-09-25 07:00:00,2617.51,2627.17,2611.97,2621.51,2251.6225,47.2852,2637.534,2666.8065,2608.2615,2631.7286,5.1837,11.7838,-6.6001
2024-09-25 08:00:00,2621.29,2627.55,2620.51,2625.38,1356.1346,49.0966,2637.079,2666.8066,2607.3514,2630.4589,4.1421,10.2554,-6.1133
2024-09-25 09:00:00,2625.21,2629.61,2619.83,2621.11,976.0496,47.1706,2637.489,2666.0763,2608.9017,2628.5891,2.9383,8.792,-5.8537
2024-09-25 10:00:00,2620.9,2630.28,2613.69,2622.64,2013.9707,47.9584,2638.005,2665.0895,2610.9205,2627.3993,2.0836,7.4503,-5.3667
2024-09-25 11:00:00,2622.97,2627.92,2614.11,2626.97,1166.964,50.2207,2638.027,2665.0749,2610.9791,2627.3134,1.7357,6.3074,-4.5717
2024-09-25 12:00:00,2627.33,2627.5,2617.2,2617.3,1433.8562,45.467,2636.537,2664.6824,2608.3916,2625.3108,0.672,5.1803,-4.5084
2024-09-25 13:00:00,2617.08,2622.45,2604.08,2617.48,2843.2323,45.5703,2635.508,2664.8354,2606.1806,2623.7446,-0.1548,4.1133,-4.2681
2024-09-25 14:00:00,2617.24,2629.6,2615.91,2626.47,5321.2884,50.6023,2634.3185,2663.0805,2605.5565,2624.2897,-0.0836,3.2739,-3.3575
2024-09-25 15:00:00,2626.78,2628.78,2595.41,2600.9,3606.3429,39.4352,2631.8235,2662.9905,2600.6565,2619.6117,-2.0666,2.2058,-4.2724
2024-09-25 16:00:00,2600.95,2609.45,2592.44,2599.65,3199.2283,38.9823,2629.422,2662.6644,2596.1796,2615.6194,-3.6965,1.0254,-4.7218
2024-09-25 17:00:00,2599.58,2604.02,2564.02,2575.02,10021.3646,31.3438,2624.852,2661.4534,2588.2506,2607.4995,-6.896,-0.5589,-6.3371
2024-09-25 18:00:00,2575.02,2583.49,2572.79,2582.33,2279.6337,35.3903,2621.303,2659.8897,2582.7163,2602.4656,-8.7411,-2.1954,-6.5458
2024-09-25 19:00:00,2582.3,2589.0,2567.52,2570.3,3216.8283,32.0432,2617.874,2661.4672,2574.2808,2596.0325,-11.0467,-3.9656,-7.0811
2024-09-25 20:00:00,2570.33,2582.73,2569.98,2580.25,2621.5503,37.3232,2614.9425,2660.3392,2569.5458,2592.876,-11.9335,-5.5592,-6.3743
2024-09-25 21:00:00,2580.43,2584.58,2576.69,2580.8,3071.1438,37.6117,2611.509,2656.3243,2566.6937,2590.4608,-12.4484,-6.9371,-5.5114
2024-09-25 22:00:00,2580.78,2582.0,2553.93,2571.89,11315.3764,34.8154,2607.708,2652.4243,2562.9917,2586.7466,-13.4207,-8.2338,-5.1869
2024-09-25 23:00:00,2571.89,2582.1,2566.84,2579.25,1617.6826,38.8591,2604.3475,2646.9621,2561.7329,2585.2473,-13.4425,-9.2755,-4.1669
