date,open,high,low,close,volume
2024-09-14 12:00:00,2418.27,2424.8,2415.28,2421.44,847.5686
2024-09-14 13:00:00,2421.46,2422.3,2412.81,2417.89,1192.5364
2024-09-14 14:00:00,2417.61,2424.64,2415.58,2420.89,1213.7159
2024-09-14 15:00:00,2420.88,2423.7,2415.88,2419.33,1125.8287
2024-09-14 16:00:00,2419.31,2422.07,2415.79,2418.96,923.9976
2024-09-14 17:00:00,2418.89,2418.89,2412.26,2415.15,845.3175
2024-09-14 18:00:00,2415.11,2415.11,2378.8,2407.94,5296.5914
2024-09-14 19:00:00,2407.93,2412.85,2403.96,2409.37,796.2604
2024-09-14 20:00:00,2409.37,2422.98,2407.46,2416.74,1579.9873
2024-09-14 21:00:00,2416.72,2419.53,2413.18,2417.45,781.3846
2024-09-14 22:00:00,2417.44,2420.09,2411.95,2417.58,766.7701
2024-09-14 23:00:00,2417.51,2419.71,2414.9,2418.19,706.0117
2024-09-15 00:00:00,2418.3,2423.48,2417.14,2420.01,853.0966
2024-09-15 01:00:00,2419.96,2430.91,2419.96,2425.53,1958.0909
2024-09-15 02:00:00,2425.58,2428.8,2420.02,2426.27,708.5023
2024-09-15 02:00:00,2425.58,2428.8,2420.02,2426.27,708.5023
2024-09-15 03:00:00,2426.12,2426.71,2420.22,2421.07,614.433
2024-09-15 04:00:00,2421,2423.03,2414.74,2417.58,487.8113
2024-09-15 05:00:00,2417.58,2421.89,2417.49,2419.48,382.469
2024-09-15 06:00:00,2419.48,2422.35,2418.96,2421.55,696.8342
2024-09-15 07:00:00,2421.55,2425.05,2420.23,2423.21,1187.1967
2024-09-15 08:00:00,2423.44,2423.86,2413.82,2415.94,390.9188
2024-09-15 09:00:00,2415.6,2416.67,2411.1,2413.21,473.8344
2024-09-15 10:00:00,2413.25,2414.77,2403.66,2409.91,740.6298
2024-09-15 11:00:00,2409.57,2409.98,2402.4,2407.47,444.2518
2024-09-15 12:00:00,2407.46,2413.04,2405.4,2411.57,463.8198
2024-09-15 13:00:00,2411.56,2419.17,2407.87,2411.01,1022.5556
2024-09-15 14:00:00,2411,2413.59,2396.72,2412.08,1308.0375
2024-09-15 15:00:00,2412.07,2415.81,2404.63,2409.48,1089.5093
2024-09-15 16:00:00,2409.43,2409.72,2387.68,2388.59,1455.487
2024-09-15 17:00:00,2388.49,2393,2376.37,2384.04,2062.6503
2024-09-15 18:00:00,2383.61,2388.61,2363,2380.53,5944.8332
2024-09-15 19:00:00,2380.79,2388.26,2370.95,2372.63,2025.302
2024-09-15 20:00:00,2372.56,2372.73,2355.42,2363.5,4735.5402
2024-09-15 21:00:00,2363.48,2363.93,2335.99,2353.38,5007.6747
2024-09-15 22:00:00,2353.24,2353.39,2341.59,2346.68,1990.709
2024-09-15 23:00:00,2346.39,2346.51,2285,2316.37,12951.1097
2024-09-16 00:00:00,2316.01,2322.36,2292.32,2300.12,4559.6062
2024-09-16 01:00:00,2300,2304.16,2260.24,2277.43,8420.0754
2024-09-16 02:00:00,2277.65,2283.85,2251.99,2261.01,4803.6169
2024-09-16 02:00:00,2277.65,2283.85,2251.99,2261.01,4803.6169
2024-09-16 03:00:00,2261.25,2279.08,2259.28,2278.22,3723.715
2024-09-16 04:00:00,2278.26,2282.95,2276.12,2281.38,1981.5635
